user_id,nama,email_user,jenjang_pendidikan,kelas,asal_provinsi,created_date
USR0001,Fajar Fadilah,fajar.fadilah1@kelasjuara.id,SMP,8,Jawa Tengah,2023-06-13
USR0002,Fitri Permana,fitri.permana2@kelasjuara.id,SMA,11,Nusa Tenggara Timur,2025-07-17
USR0003,Salsa Kusuma,salsa.kusuma3@kelasjuara.id,SMP,8,Sumatera Barat,2024-12-28
USR0004,Cahya Fadilah,cahya.fadilah4@kelasjuara.id,SMA,12,Sumatera Utara,2023-05-27
USR0005,Maya Iskandar,maya.iskandar5@kelasjuara.id,SMP,9,Jawa Barat,2024-05-16
USR0006,Vina Darmawan,vina.darmawan6@kelasjuara.id,SMA,11,Jawa Barat,2024-03-25
USR0007,Fira Ramadhan,fira.ramadhan7@kelasjuara.id,SMP,7,Jawa Barat,2023-03-07
USR0008,Sinta Hartono,sinta.hartono8@kelasjuara.id,SMA,10,Sulawesi Selatan,2024-03-08
USR0009,Gina Putranto,gina.putranto9@kelasjuara.id,SMA,10,Sumatera Utara,2025-10-19
USR0010,Fauzi Sulistyo,fauzi.sulistyo10@kelasjuara.id,SMA,10,Riau,2024-06-26
USR0011,Sari Utami,sari.utami11@kelasjuara.id,SMA,12,Jawa Barat,2025-05-27
USR0012,Intan Hartono,intan.hartono12@kelasjuara.id,SMA,10,Papua,2023-10-11
USR0013,Yoga Ardiansyah,yoga.ardiansyah13@kelasjuara.id,SMP,7,Kalimantan Tengah,2023-08-13
USR0014,Umi Iskandar,umi.iskandar14@kelasjuara.id,SMP,9,Jawa Timur,2025-05-14
USR0015,Laras Setiawan,laras.setiawan15@kelasjuara.id,SMA,11,Jawa Timur,2025-08-16
USR0016,Arif Firmansyah,arif.firmansyah16@kelasjuara.id,SMP,9,Jawa Timur,2023-08-23
USR0017,Fira Dewanti,fira.dewanti17@kelasjuara.id,SMA,12,Jawa Timur,2024-11-27
USR0018,Oktavia Cahyani,oktavia.cahyani18@kelasjuara.id,SMA,10,Banten,2025-07-18
USR0019,Ahmad Adriani,ahmad.adriani19@kelasjuara.id,SMA,12,Jawa Tengah,2024-01-01
USR0020,Wulan Permana,wulan.permana20@kelasjuara.id,SMA,12,Jawa Timur,2025-11-05
USR0021,Maya Rahayu,maya.rahayu21@kelasjuara.id,SMP,8,Sumatera Utara,2023-11-27
USR0022,Doni Siagian,doni.siagian22@kelasjuara.id,SMP,9,Jawa Barat,2024-10-25
USR0023,Tara Susanto,tara.susanto23@kelasjuara.id,SMP,8,Jawa Timur,2024-09-21
USR0024,Galih Handoko,galih.handoko24@kelasjuara.id,SMP,9,Jawa Tengah,2023-06-11
USR0025,Kartika Adriani,kartika.adriani25@kelasjuara.id,SMA,10,DKI Jakarta,2025-12-26
USR0026,Alya Hidayat,alya.hidayat26@kelasjuara.id,SMP,9,Kalimantan Timur,2025-08-31
USR0027,Elsa Nugroho,elsa.nugroho27@kelasjuara.id,SMA,12,Jawa Timur,2025-05-16
USR0028,Dian Dewanti,dian.dewanti28@kelasjuara.id,SMP,9,Banten,2024-09-30
USR0029,Gilang Fadilah,gilang.fadilah29@kelasjuara.id,SMA,11,Sumatera Utara,2025-11-25
USR0030,Mira Kurniawan,mira.kurniawan30@kelasjuara.id,SMP,7,Jawa Barat,2023-05-12
USR0031,Vera Susanto,vera.susanto31@kelasjuara.id,SMP,9,Sumatera Utara,2024-03-27
USR0032,Ahmad Setiawan,ahmad.setiawan32@kelasjuara.id,SMP,7,Jawa Timur,2023-05-19
USR0033,Eka Anggraeni,eka.anggraeni33@kelasjuara.id,SMP,9,Jawa Barat,2024-05-02
USR0034,Lina Fadilah,lina.fadilah34@kelasjuara.id,SMA,10,Nusa Tenggara Timur,2023-09-28
USR0035,Nabila Prabowo,nabila.prabowo35@kelasjuara.id,SMA,10,Papua,2025-08-26
USR0036,Hana Rahayu,hana.rahayu36@kelasjuara.id,SMP,7,Kalimantan Selatan,2025-06-01
USR0037,Yuni Suryadi,yuni.suryadi37@kelasjuara.id,SMA,11,Jawa Timur,2023-04-21
USR0038,Dimas Sulistyo,dimas.sulistyo38@kelasjuara.id,SMP,7,Jawa Barat,2025-04-04
USR0039,Rahma Anggraeni,rahma.anggraeni39@kelasjuara.id,SMP,7,Lampung,2024-01-28
USR0040,Agus Dewanti,agus.dewanti40@kelasjuara.id,SMA,10,DKI Jakarta,2025-05-14
USR0041,Zahra Maharani,zahra.maharani41@kelasjuara.id,SMA,10,Jawa Barat,2023-06-04
USR0042,Lukman Hermawan,lukman.hermawan42@kelasjuara.id,SMP,7,Banten,2023-01-31
USR0043,Lestari Tanjung,lestari.tanjung43@kelasjuara.id,SMP,7,Jawa Barat,2025-04-12
USR0044,Tara Budiman,tara.budiman44@kelasjuara.id,SMP,8,Bali,2023-05-01
USR0045,Wati Wibisono,wati.wibisono45@kelasjuara.id,SMP,8,Jawa Timur,2024-06-27
USR0046,Nisa Cahyani,nisa.cahyani46@kelasjuara.id,SMA,12,Lampung,2025-09-23
USR0047,Umi Rahayu,umi.rahayu47@kelasjuara.id,SMA,10,Jawa Tengah,2023-04-30
USR0048,Intan Halim,intan.halim48@kelasjuara.id,SMP,9,Banten,2024-10-04
USR0049,Hadi Handoko,hadi.handoko49@kelasjuara.id,SMA,12,DI Yogyakarta,2025-12-23
USR0050,Vina Handoko,vina.handoko50@kelasjuara.id,SMP,7,Jawa Timur,2023-05-21
USR0051,Laras Setiawan,laras.setiawan51@kelasjuara.id,SMP,8,Papua,2023-09-03
USR0052,Gina Utami,gina.utami52@kelasjuara.id,SMP,9,Kalimantan Timur,2023-06-17
USR0053,Irma Fadilah,irma.fadilah53@kelasjuara.id,SMA,11,Nusa Tenggara Barat,2024-02-23
USR0054,Ayu Putranto,ayu.putranto54@kelasjuara.id,SMA,10,Sulawesi Tengah,2024-06-27
USR0055,Fauzi Hidayat,fauzi.hidayat55@kelasjuara.id,SMA,11,Sumatera Utara,2024-10-09
USR0056,Winda Setiawan,winda.setiawan56@kelasjuara.id,SMP,8,Bali,2023-07-24
USR0057,Joko Dewanti,joko.dewanti57@kelasjuara.id,SMP,9,Jawa Barat,2024-06-27
USR0058,Rina Fitriani,rina.fitriani58@kelasjuara.id,SMP,7,Jawa Timur,2025-01-26
USR0059,Mega Nugroho,mega.nugroho59@kelasjuara.id,SMA,12,Jawa Barat,2024-09-11
USR0060,Nova Sulistyo,nova.sulistyo60@kelasjuara.id,SMP,9,Jawa Tengah,2024-09-05
USR0061,Rizki Permana,rizki.permana61@kelasjuara.id,SMP,8,Jawa Tengah,2023-08-25
USR0062,Nur Halim,nur.halim62@kelasjuara.id,SMP,8,Jawa Timur,2024-07-31
USR0063,Maya Saputra,maya.saputra63@kelasjuara.id,SMA,10,Kalimantan Tengah,2024-06-24
USR0064,Wulan Ardiansyah,wulan.ardiansyah64@kelasjuara.id,SMA,10,Jawa Tengah,2023-07-09
USR0065,Salsa Suryadi,salsa.suryadi65@kelasjuara.id,SMA,10,Jawa Timur,2023-01-08
USR0066,Umar Siagian,umar.siagian66@kelasjuara.id,SMP,9,DI Yogyakarta,2024-06-20
USR0067,Vina Halim,vina.halim67@kelasjuara.id,SMA,12,Jawa Barat,2025-05-25
USR0068,Fahri Wijaya,fahri.wijaya68@kelasjuara.id,SMP,7,Kalimantan Selatan,2023-11-02
USR0069,Doni Pratama,doni.pratama69@kelasjuara.id,SMA,12,Jawa Barat,2023-10-31
USR0070,Kiki Hidayat,kiki.hidayat70@kelasjuara.id,SMP,8,Papua Barat,2025-01-16
USR0071,Fajar Fitriani,fajar.fitriani71@kelasjuara.id,SMP,9,Kalimantan Timur,2024-05-26
USR0072,Ayu Permana,ayu.permana72@kelasjuara.id,SMA,12,Jawa Timur,2025-04-12
USR0073,Omar Halim,omar.halim73@kelasjuara.id,SMP,7,Jawa Barat,2023-11-29
USR0074,Yusuf Prasetyo,yusuf.prasetyo74@kelasjuara.id,SMP,7,Kalimantan Barat,2024-11-11
USR0075,Hana Fadilah,hana.fadilah75@kelasjuara.id,SMP,8,Riau,2023-11-23
USR0076,Ilham Permana,ilham.permana76@kelasjuara.id,SMA,10,Sumatera Barat,2025-08-21
USR0077,Endang Rahayu,endang.rahayu77@kelasjuara.id,SMA,11,Kalimantan Timur,2024-09-17
USR0078,Fitri Purnama,fitri.purnama78@kelasjuara.id,SMP,9,Jawa Barat,2024-01-31
USR0079,Gilang Anggraeni,gilang.anggraeni79@kelasjuara.id,SMA,10,Jawa Tengah,2024-07-25
USR0080,Widya Sulistyo,widya.sulistyo80@kelasjuara.id,SMA,12,Jawa Barat,2024-11-09
USR0081,Dewi Kurniawan,dewi.kurniawan81@kelasjuara.id,SMA,10,Sulawesi Selatan,2024-06-27
