id_siswa,nama_siswa,email,tingkat_pendidikan,kelas_tingkat,provinsi,tanggal_gabung
SPN0001,Vina Darmawan,vina.darmawan1@pintarnusa.id,SMA,11,Jawa Tengah,2024-03-25
SPN0002,Fira Ramadhan,fira.ramadhan2@pintarnusa.id,SMP,7,Nusa Tenggara Timur,2023-03-07
SPN0003,Sinta Hartono,sinta.hartono3@pintarnusa.id,SMA,10,Sumatera Barat,2024-03-08
SPN0004,Gina Putranto,gina.putranto4@pintarnusa.id,SMA,10,Sumatera Utara,2025-10-19
SPN0005,Fauzi Sulistyo,fauzi.sulistyo5@pintarnusa.id,SMA,10,Jawa Barat,2024-06-26
SPN0006,Sari Utami,sari.utami6@pintarnusa.id,SMA,12,Jawa Barat,2025-05-27
SPN0007,Intan Hartono,intan.hartono7@pintarnusa.id,SMA,10,Jawa Barat,2023-10-11
SPN0008,Yoga Ardiansyah,yoga.ardiansyah8@pintarnusa.id,SMP,7,Sulawesi Selatan,2023-08-13
SPN0009,Umi Iskandar,umi.iskandar9@pintarnusa.id,SMP,9,Sumatera Utara,2025-05-14
SPN0010,Laras Setiawan,laras.setiawan10@pintarnusa.id,SMA,11,Riau,2025-08-16
SPN0011,Arif Firmansyah,arif.firmansyah11@pintarnusa.id,SMP,9,Jawa Barat,2023-08-23
SPN0012,Fira Dewanti,fira.dewanti12@pintarnusa.id,SMA,12,Papua,2024-11-27
SPN0013,Oktavia Cahyani,oktavia.cahyani13@pintarnusa.id,SMA,10,Kalimantan Tengah,2025-07-18
SPN0014,Ahmad Adriani,ahmad.adriani14@pintarnusa.id,SMA,12,Jawa Timur,2024-01-01
SPN0015,Wulan Permana,wulan.permana15@pintarnusa.id,SMA,12,Jawa Timur,2025-11-05
SPN0016,Maya Rahayu,maya.rahayu16@pintarnusa.id,SMP,8,Jawa Timur,2023-11-27
SPN0017,Doni Siagian,doni.siagian17@pintarnusa.id,SMP,9,Jawa Timur,2024-10-25
SPN0018,Tara Susanto,tara.susanto18@pintarnusa.id,SMP,8,Banten,2024-09-21
SPN0019,Galih Handoko,galih.handoko19@pintarnusa.id,SMP,9,Jawa Tengah,2023-06-11
SPN0020,Kartika Adriani,kartika.adriani20@pintarnusa.id,SMA,10,Jawa Timur,2025-12-26
